song_id,title,rank,year
557,All Of The Lights,58,2011
558,Hold It Against Me,59,2011
559,More,60,2011
560,What The Hell,61,2011
561,Written In The Stars,62,2011
562,Bottoms Up,63,2011
563,DJ Got Us Fallin' In Love,64,2011
564,For The First Time,65,2011
565,Honey Bee,66,2011
566,Don't You Wanna Stay,67,2011
567,We Found Love,68,2011
568,Pretty Girl Rock,69,2011
569,You And I,70,2011
570,Like A G6,71,2011
571,Without You,72,2011
572,Back To December,73,2011
573,Teenage Dream,74,2011
574,Crazy Girl,75,2011
575,Cheers (Drink To That),76,2011
576,Who Says,77,2011
577,Barefoot Blue Jean Night,78,2011
578,Knee Deep,79,2011
579,Country Girl (Shake It For Me),80,2011
580,Remind Me,81,2011
581,In The Dark,82,2011
582,Backseat,83,2011
583,Headlines,84,2011
584,Best Thing I Never Had,85,2011
585,Don't Wanna Go Home,86,2011
586,Where Them Girls At,87,2011
587,She Ain't You,88,2011
588,Take A Back Road,89,2011
589,Please Don't Go,90,2011
590,Sure Thing,91,2011
591,Price Tag,92,2011
592,God Gave Me You,93,2011
593,She Will,94,2011
594,Are You Gonna Kiss Me Or Not,95,2011
595,Animal,96,2011
596,You And Tequila,97,2011
597,Colder Weather,98,2011
598,My Last,99,2011
599,Somebody That I Used To Know,1,2012
600,Call Me Maybe,2,2012
601,We Are Young,3,2012
602,Payphone,4,2012
603,Lights,5,2012
604,Glad You Came,6,2012
605,Stronger (What Doesn't Kill You),7,2012
606,We Found Love,8,2012
607,Starships,9,2012
608,What Makes You Beautiful,10,2012
609,Wild Ones,11,2012
610,Set Fire To The Rain,12,2012
611,Sexy And I Know It,13,2012
612,Some Nights,14,2012
613,Wide Awake,15,2012
614,Good Feeling,16,2012
615,Whistle,17,2012
616,One More Night,18,2012
617,Drive By,19,2012
618,The Motto,20,2012
619,Where Have You Been,21,2012
620,Everybody Talks,22,2012
621,Take Care,23,2012
622,Titanium,24,2012
623,I Won't Give Up,25,2012
624,It Will Rain,26,2012
625,Mercy,27,2012
626,Boyfriend,28,2012
627,Party Rock Anthem,29,2012
628,Too Close,30,2012
629,Part Of Me,31,2012
630,"Young, Wild & Free",32,2012
631,We Are Never Ever Getting Back Together,33,2012
632,As Long As You Love Me,34,2012
633,Turn Me On,35,2012
634,Moves Like Jagger,36,2012
635,Blow Me (One Last Kiss),37,2012
636,Good Time,38,2012
637,Give Your Heart A Break,39,2012
638,Ni**as in Paris,40,2012
639,The One That Got Away,41,2012
640,Feel So Close,42,2012
641,Someone Like You,43,2012
642,Scream,44,2012
643,Rack City,45,2012
644,Domino,46,2012
645,Gangnam Style,47,2012
646,International Love,48,2012
647,Home,49,2012
648,Without You,50,2012
649,Ass Back Home,51,2012
650,Wanted,52,2012
651,Drunk On You,53,2012
652,No Lie,54,2012
653,Want U Back,55,2012
654,Don't Wake Me Up,56,2012
655,Dance (A$$),57,2012
656,Springsteen,58,2012
657,Brokenhearted,59,2012
658,Not Over You,60,2012
659,Stereo Hearts,61,2012
660,Back In Time,62,2012
661,Work Out,63,2012
662,Rumour Has It,64,2012
663,Let's Go,65,2012
664,Good Girl,66,2012
665,Pontoon,67,2012
666,Ho Hey,68,2012
667,Paradise,69,2012
668,Blown Away,70,2012
669,Rolling In The Deep,71,2012
670,Climax,72,2012
671,"Work Hard, Play Hard",73,2012
672,Let Me Love You (Until You Learn To Love Yourself),74,2012
673,Pound The Alarm,75,2012
674,Come Over,76,2012
675,Heart Attack,77,2012
676,Drank In My Cup,78,2012
677,Birthday Cake,79,2012
678,So Good,80,2012
679,50 Ways To Say Goodbye,81,2012
680,Red Solo Cup,82,2012
681,Love You Like A Love Song,83,2012
682,Turn Up The Music,84,2012
683,Die Young,85,2012
684,5 O'Clock,86,2012
685,A Thousand Years,87,2012
686,Take A Little Ride,88,2012
687,You Da One,89,2012
688,We Run The Night,90,2012
689,It's Time,91,2012
690,Cashin' Out,92,2012
691,I Don't Want This Night To End,93,2012
692,Diamonds,94,2012
693,Hard To Love,95,2012
694,Somethin' 'Bout A Truck,96,2012
695,Adorn,97,2012
696,Fly Over States,98,2012
697,Even If It Breaks Your Heart,99,2012
698,Burn It Down,100,2012
699,Thrift Shop,1,2013
700,Blurred Lines,2,2013
701,Radioactive,3,2013
702,Harlem Shake,4,2013
703,Can't Hold Us,5,2013
704,Mirrors,6,2013
705,Just Give Me A Reason,7,2013
706,When I Was Your Man,8,2013
707,Cruise,9,2013
708,Roar,10,2013
709,Locked Out Of Heaven,11,2013
710,Ho Hey,12,2013
711,Stay,13,2013
712,Get Lucky,14,2013
713,Royals,15,2013
714,I Knew You Were Trouble.,16,2013
715,We Can't Stop,17,2013
716,Wrecking Ball,18,2013
717,Wake Me Up!,19,2013
718,Suit & Tie,20,2013
719,Cups (Pitch Perfect's When I'm Gone),21,2013
720,Holy Grail,22,2013
721,Scream & Shout,23,2013
722,Clarity,24,2013
723,Sail,25,2013
724,Don't You Worry Child,26,2013
725,Diamonds,27,2013
726,I Love It,28,2013
727,Safe And Sound,29,2013
728,Treasure,30,2013
729,The Way,31,2013
730,Started From The Bottom,32,2013
731,Come & Get It,33,2013
732,"Hold On, We're Going Home",34,2013
733,Daylight,35,2013
734,Feel This Moment,36,2013
735,Applause,37,2013
736,One More Night,38,2013
737,Love Me,39,2013
738,My Songs Know What You Did In The Dark (Light Em Up),40,2013
739,F**kin Problems,41,2013
740,Beauty And A Beat,42,2013
741,Same Love,43,2013
742,Sweet Nothing,44,2013
743,Summertime Sadness,45,2013
744,Home,46,2013
745,It's Time,47,2013
746,Power Trip,48,2013
747,Girl On Fire,49,2013
748,Heart Attack,50,2013
749,Love Somebody,51,2013
750,I Will Wait,52,2013
751,Try,53,2013
752,Wagon Wheel,54,2013
753,Gangnam Style,55,2013
754,I Need Your Love,56,2013
755,Die Young,57,2013
756,Some Nights,58,2013
757,Bad,59,2013
758,Boys 'round Here,60,2013
759,"Gone, Gone, Gone",61,2013
760,Demons,62,2013
761,Counting Stars,63,2013
762,I Cry,64,2013
763,Little Talks,65,2013
764,The Other Side,66,2013
765,Berzerk,67,2013
766,Catch My Breath,68,2013
767,Crash My Party,69,2013
768,Pour It Up,70,2013
769,22,71,2013
770,I Want Crazy,72,2013
771,The Fox,73,2013
772,Best Song Ever,74,2013
773,The A Team,75,2013
774,Carry On,76,2013
775,Highway Don't Care,77,2013
776,That's My Kind Of Night,78,2013
777,Swimming Pools (Drank),79,2013
778,Sure Be Cool If You Did,80,2013
779,#Beautiful,81,2013
780,Troublemaker,82,2013
781,Body Party,83,2013
782,Adorn,84,2013
