fk_song,fk_artist
1186,450
1187,423
1188,116
1188,159
1189,595
1190,241
1190,444
1191,179
1192,701
1192,528
1193,98
1193,714
1194,426
1194,623
1195,67
1196,700
1197,330
1197,103
1198,176
1199,183
1200,54
1200,213
1201,98
1201,714
1202,534
1202,2
1203,534
1203,677
1204,100
1204,49
1204,270
1205,725
1205,421
1205,240
1206,176
1207,426
1207,100
1208,176
1209,316
1210,534
1211,88
1211,100
1212,188
1213,177
1214,700
1215,98
1216,343
1216,495
1217,36
1218,52
1219,267
1220,70
1220,176
1221,632
1222,378
1222,176
1223,427
1223,35
1224,248
1225,678
1225,498
1226,483
1227,223
1227,14
1227,100
1228,9
1228,488
1228,466
1229,145
1230,533
1231,444
1231,488
1231,100
1232,371
1233,7
1234,267
1235,498
1235,439
1236,534
1237,655
1237,334
1238,592
1239,673
1240,444
1240,176
1241,387
1242,223
1242,248
1243,595
1244,334
1244,623
1245,444
1246,580
1247,334
1247,720
1248,120
1249,176
1250,324
1251,100
1252,380
1252,122
1253,9
1254,555
1255,426
1256,100
1257,592
1257,427
1258,100
1258,2
1259,36
1260,702
1260,0
1260,59
1260,488
1261,159
1262,114
1263,433
1263,233
1264,343
1265,97
1265,177
1266,267
1267,282
1268,183
1269,241
1269,444
1270,170
1270,319
1270,111
1270,540
1271,13
1271,488
1272,445
1272,673
1273,657
1274,57
1274,248
1274,343
1275,655
1276,286
1276,334
1276,222
1276,277
1277,427
1277,51
1278,105
1278,493
1278,149
1278,489
1278,509
1278,49
1279,213
1280,469
1280,557
1281,402
1281,22
1281,343
1282,320
1282,123
1283,176
1284,335
1285,700
1286,426
1286,623
1287,489
1287,270
1288,715
1289,188
1290,143
1291,700
1292,85
1293,409
1294,544
1294,317
1295,177
1296,270
1296,693
1296,58
1297,267
1298,385
1298,62
1299,534
1299,621
1300,248
1301,60
1302,534
1303,427
1303,51
1304,36
1305,343
1306,673
1307,312
1308,511
1309,36
1310,399
1311,580
1311,495
1312,595
1312,98
1313,183
1313,319
1314,57
1314,248
1314,343
1315,435
1315,176
1316,365
1316,80
1317,343
1318,122
1318,176
1319,426
1319,100
1320,40
