song_id,title,artist,rank,year
464,Tie Me Down,New Boyz Featuring Ray J,65,2010
465,Your Love,Nicki Minaj,66,2010
466,Party In The U.S.A.,Miley Cyrus,67,2010
467,Deuces,Chris Brown Featuring Tyga & Kevin McCall,68,2010
468,3,Britney Spears,69,2010
469,Impossible,Shontelle,70,2010
470,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",71,2010
471,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,72,2010
472,My First Kiss,3OH!3 Featuring Ke$ha,73,2010
473,Already Gone,Kelly Clarkson,74,2010
474,Rock That Body,The Black Eyed Peas,75,2010
475,Secrets,OneRepublic,76,2010
476,Naturally,Selena Gomez & The Scene,77,2010
477,Un-Thinkable (I'm Ready),Alicia Keys,78,2010
478,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",79,2010
479,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",80,2010
480,Stuck Like Glue,Sugarland,81,2010
481,Hey Daddy (Daddy's Home),Usher Featuring Plies,82,2010
482,There Goes My Baby,Usher,83,2010
483,Today Was A Fairytale,Taylor Swift,84,2010
484,Say Something,Timbaland Featuring Drake,85,2010
485,Sweet Dreams,Beyonce,86,2010
486,Use Somebody,Kings Of Leon,87,2010
487,Undo It,Carrie Underwood,88,2010
488,Eenie Meenie,Sean Kingston & Justin Bieber,89,2010
489,Right Above It,Lil Wayne Featuring Drake,90,2010
490,The House That Built Me,Miranda Lambert,91,2010
491,If I Die Young,The Band Perry,92,2010
492,The Only Exception,Paramore,93,2010
493,American Honey,Lady Antebellum,94,2010
494,King Of Anything,Sara Bareilles,95,2010
495,Life After You,Daughtry,96,2010
496,Smile,Uncle Kracker,97,2010
497,Teach Me How To Dougie,Cali Swag District,98,2010
498,Try Sleeping With A Broken Heart,Alicia Keys,99,2010
499,"Lover, Lover",Jerrod Niemann,100,2010
500,Rolling In The Deep,Adele,1,2011
501,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,2011
502,Firework,Katy Perry,3,2011
503,E.T.,Katy Perry Featuring Kanye West,4,2011
504,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,2011
505,Grenade,Bruno Mars,6,2011
506,Super Bass,Nicki Minaj,7,2011
507,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,8,2011
508,Just Can't Get Enough,The Black Eyed Peas,9,2011
509,On The Floor,Jennifer Lopez Featuring Pitbull,10,2011
510,S&M,Rihanna,11,2011
511,Pumped Up Kicks,Foster The People,12,2011
